manufacturer,model_family,model_full,aircraft_category,operation_types,typical_engines,typical_seats,total_incidents,total_accidents,total_incidents_only,years_with_incidents,first_incident_date,last_incident_date,avg_incidents_per_year,data_eras,incidents_pre1982,incidents_pre2008,incidents_avall,fatal_event_count,serious_event_count,total_fatalities,total_serious_injuries,destroyed_count,fatality_rate_pct,destruction_rate_pct,avg_injury_score,avg_damage_score,weighted_severity_score,recent_severity,historical_severity,severity_trend,severity_slope,top_failure_1,top_failure_1_count,top_failure_2,top_failure_2_count,top_failure_3,top_failure_3_count,pct_engine_failure,pct_weather_related,pct_human_factor,pct_fire_related,pct_structural_failure,pct_maintenance_related,causal_finding_categories,aircraft_causes,personnel_causes,environmental_causes,n_distinct_clusters,avg_anomaly_score,high_anomaly_count,pct_nlp_categorized,dominant_cluster_id,pct_imc_conditions,risk_quartile,risk_tier,risk_rank,data_as_of,data_note
BEECHCRAFT,H18,BEECHCRAFT H18,AIR,135,2,2,16,16,0,10,1974-07-03,1997-02-22,1.6,"pre1982, pre2008",9,7,0,4,0,15,0,11,25.00,68.75,1.81,3.69,2.56,,2.56,INSUFFICIENT_DATA,0.0709,weather,2,engine_failure,1,,,100.0,100.0,0.0,100.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,8,0.2750,0,18.8,7,12.50,1,CRITICAL,11,2026-04-14,Based on 16 incidents (1974-1997)
CESSNA,T207,CESSNA T207,AIR,135,1,7,28,28,0,21,1969-03-24,2025-04-28,1.3,"avall, pre1982, pre2008",6,15,7,4,5,12,18,9,14.29,32.14,1.96,3.32,2.51,2.40,2.52,STABLE,0.0115,weather,6,engine_failure,3,human_factors,1,100.0,100.0,100.0,16.7,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations",2,6,2,14,0.3569,0,39.3,9,10.71,1,CRITICAL,12,2026-04-14,Based on 28 incidents (1969-2025)
CESSNA,421,CESSNA 421,AIR,135,2,8,41,40,1,31,1969-11-17,2017-11-22,1.3,"avall, pre1982, pre2008",14,20,7,10,2,29,9,10,24.39,24.39,1.93,3.22,2.44,2.40,2.45,STABLE,0.0275,landing_gear,12,engine_failure,2,human_factors,1,100.0,75.0,100.0,50.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",7,3,1,17,0.3384,0,39.0,7,21.95,1,CRITICAL,13,2026-04-14,Based on 41 incidents (1969-2017)
CESSNA,208,CESSNA 208,AIR,135,1,2,170,157,13,38,1985-11-01,2026-03-13,4.5,"avall, pre2008",0,94,76,42,12,95,27,42,24.71,24.71,2.02,3.02,2.42,2.21,2.51,IMPROVING,-0.0206,landing_gear,51,weather,36,engine_failure,21,100.0,100.0,38.1,14.3,11.8,4.8,"Aircraft, Aircraft/Environment, Environmental, Not determined, Organizational, Other, Personnel, Personnel/Operations, Underlying",28,50,23,20,0.3444,0,68.8,29,25.29,1,CRITICAL,14,2026-04-14,Based on 170 incidents (1985-2026)
EUROCOPTER,SA316B,EUROCOPTER SA316B,HELI,135,1,6,17,17,0,10,1978-12-14,1993-04-01,1.7,"pre1982, pre2008",6,11,0,1,4,3,14,7,5.88,41.18,1.76,3.41,2.42,,2.42,INSUFFICIENT_DATA,0.0980,landing_gear,1,electrical,1,,,0.0,0.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,9,0.2708,0,11.8,7,0.00,1,CRITICAL,15,2026-04-14,Based on 17 incidents (1978-1993)
EUROCOPTER,AS350D,EUROCOPTER AS350D,HELI,135,1,6,21,19,2,10,1980-03-03,2006-01-29,2.1,"pre1982, pre2008",9,12,0,3,3,8,3,7,14.29,33.33,1.86,3.24,2.41,,2.41,INSUFFICIENT_DATA,0.0210,engine_failure,3,human_factors,1,landing_gear,1,100.0,0.0,100.0,0.0,0.0,33.3,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,10,0.3495,0,23.8,7,0.00,1,CRITICAL,16,2026-04-14,Based on 21 incidents (1980-2006)
BELL,206,BELL 206,HELI,135,1,5,515,492,23,55,1967-07-17,2024-10-27,9.4,"avall, pre1982, pre2008",228,249,38,84,57,195,159,174,16.31,33.79,1.82,3.22,2.38,2.70,2.37,WORSENING,0.0223,engine_failure,41,weather,34,human_factors,20,100.0,100.0,100.0,2.9,0.0,2.4,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",18,24,5,39,0.3435,15,24.5,7,9.71,1,CRITICAL,18,2026-04-14,Based on 515 incidents (1967-2024)
CASA,212,CASA 212,AIR,135,2,19,11,7,4,7,1983-08-16,2009-09-18,1.6,"avall, pre2008",0,10,1,4,1,22,7,4,36.36,36.36,2.27,2.55,2.38,,2.38,INSUFFICIENT_DATA,0.0191,landing_gear,3,weather,1,,,0.0,100.0,66.7,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Personnel, Personnel/Operations",1,1,0,5,0.1776,0,36.4,7,9.09,1,CRITICAL,17,2026-04-14,Based on 11 incidents (1983-2009)
BEECHCRAFT,58,BEECHCRAFT 58,AIR,135,2,6,71,63,8,32,1976-03-12,2024-08-06,2.2,"avall, pre1982, pre2008",14,49,8,16,4,27,7,23,22.54,32.39,1.82,3.21,2.37,1.80,2.39,IMPROVING,0.0137,landing_gear,18,engine_failure,5,weather,4,100.0,100.0,40.0,40.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",6,8,3,24,0.2686,0,42.3,7,19.72,1,CRITICAL,19,2026-04-14,Based on 71 incidents (1976-2024)
AERO COMMANDER,500B,AERO COMMANDER 500B,AIR,135,2,2,20,18,2,15,1968-06-13,2008-01-17,1.3,"avall, pre1982, pre2008",10,9,1,4,1,6,1,7,20.00,35.00,1.75,3.25,2.35,,2.35,INSUFFICIENT_DATA,0.0617,landing_gear,2,engine_failure,1,weather,1,100.0,100.0,100.0,0.0,100.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations",2,1,0,12,0.4122,1,20.0,7,10.00,1,CRITICAL,20,2026-04-14,Based on 20 incidents (1968-2008)
DEHAVILLAND,2,DEHAVILLAND 2,AIR,135,1,7,144,144,0,53,1968-12-05,2025-08-09,2.7,"avall, pre1982, pre2008",41,64,39,30,10,103,42,32,20.83,22.22,1.81,3.13,2.34,2.62,2.29,WORSENING,0.0136,weather,19,engine_failure,6,landing_gear,6,100.0,100.0,33.3,31.6,33.3,5.3,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",21,27,6,24,0.3388,1,31.3,9,6.94,1,CRITICAL,21,2026-04-14,Based on 144 incidents (1968-2025)
CESSNA,R182,CESSNA R182,AIR,135,1,4,10,9,1,9,1981-06-16,2008-08-28,1.1,"avall, pre1982, pre2008",1,7,2,2,1,6,2,1,20.00,10.00,1.90,3.00,2.34,,2.34,INSUFFICIENT_DATA,0.0077,landing_gear,2,engine_failure,1,fuel_related,1,100.0,0.0,100.0,100.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations",2,1,1,6,0.2977,0,50.0,7,0.00,1,CRITICAL,22,2026-04-14,Based on 10 incidents (1981-2008)
PIPER,PA32,PIPER PA32,AIR,135,1,6,12,11,1,8,1980-05-16,2020-07-10,1.5,"avall, pre1982, pre2008",3,3,6,3,1,9,5,3,25.00,25.00,1.92,2.92,2.32,2.16,2.43,IMPROVING,0.0155,weather,3,landing_gear,2,,,0.0,100.0,33.3,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations",1,2,5,7,0.2694,0,41.7,7,8.33,1,CRITICAL,23,2026-04-14,Based on 12 incidents (1980-2020)
ROBINSON,R44,ROBINSON R44,HELI,135,1,4,21,21,0,16,2003-05-29,2025-08-29,1.3,"avall, pre2008",0,4,17,4,0,9,0,3,19.05,14.29,1.76,3.14,2.31,2.25,2.43,STABLE,-0.0370,human_factors,4,weather,3,,,0.0,100.0,100.0,33.3,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Personnel, Personnel/Operations, Underlying",8,12,4,6,0.3654,0,33.3,45,4.76,1,CRITICAL,24,2026-04-14,Based on 21 incidents (2003-2025)
EUROCOPTER/MBB,105,EUROCOPTER/MBB 105,HELI,135,2,5,12,11,1,7,1976-07-25,1996-06-21,1.7,"pre1982, pre2008",7,5,0,2,0,6,0,4,16.67,33.33,1.67,3.25,2.30,,2.30,INSUFFICIENT_DATA,0.0912,landing_gear,1,weather,1,,,0.0,100.0,100.0,0.0,0.0,100.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,8,0.3988,0,16.7,7,0.00,1,CRITICAL,25,2026-04-14,Based on 12 incidents (1976-1996)
BELL,222,BELL 222,HELI,135,2,6,18,14,4,12,1981-01-21,2009-04-08,1.5,"avall, pre1982, pre2008",2,14,2,5,0,14,7,4,27.78,22.22,2.00,2.67,2.27,,2.27,INSUFFICIENT_DATA,0.0123,weather,3,human_factors,1,,,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",2,2,1,6,0.1476,0,22.2,7,11.11,1,CRITICAL,26,2026-04-14,Based on 18 incidents (1981-2009)
BRITISH AEROSPACE,2A,BRITISH AEROSPACE 2A,AIR,135,2,10,37,36,1,23,1970-01-21,2021-11-13,1.6,"avall, pre1982, pre2008",21,12,4,6,2,17,10,11,16.22,29.73,1.65,3.16,2.25,3.60,2.22,WORSENING,0.0273,landing_gear,5,weather,2,human_factors,1,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Not determined, Personnel, Personnel/Operations",2,3,0,17,0.3876,1,24.3,7,5.41,1,CRITICAL,27,2026-04-14,Based on 37 incidents (1970-2021)
DEHAVILLAND,3,DEHAVILLAND 3,AIR,135,1,11,48,48,0,32,1967-01-17,2022-09-04,1.5,"avall, pre1982, pre2008",19,19,10,6,5,44,27,7,12.50,14.58,1.65,3.13,2.24,2.71,2.16,WORSENING,0.0206,weather,6,landing_gear,3,fuel_related,2,0.0,100.0,33.3,100.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Organizational, Personnel, Personnel/Operations",4,5,2,22,0.4036,0,27.1,9,6.25,1,CRITICAL,28,2026-04-14,Based on 48 incidents (1967-2022)
AERO COMMANDER,500,AERO COMMANDER 500,AIR,135,2,2,45,41,4,34,1964-08-12,2026-03-17,1.3,"avall, pre1982, pre2008",24,14,7,5,7,8,9,14,11.11,31.11,1.67,3.11,2.24,1.87,2.27,IMPROVING,0.0150,landing_gear,5,weather,3,engine_failure,2,100.0,100.0,20.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Other, Personnel, Personnel/Operations",7,6,0,21,0.4210,1,26.7,7,13.33,1,CRITICAL,29,2026-04-14,Based on 45 incidents (1964-2026)
PIPER,PA-31,PIPER PA-31,AIR,"121, 135",2,8,301,264,37,53,1967-06-06,2025-11-17,5.7,"avall, pre1982, pre2008",106,164,31,50,20,156,62,81,16.61,26.91,1.68,3.04,2.23,2.09,2.23,STABLE,0.0070,landing_gear,58,weather,17,engine_failure,16,100.0,100.0,25.9,25.0,11.8,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",18,20,7,37,0.3417,11,34.6,7,14.29,1,CRITICAL,30,2026-04-14,Based on 301 incidents (1967-2025)
LEAR,35A,LEAR 35A,AIR,135,2,10,15,14,1,12,1980-05-01,2014-02-03,1.3,"avall, pre1982, pre2008",1,11,3,2,2,5,1,2,13.33,13.33,1.80,2.87,2.23,,2.23,INSUFFICIENT_DATA,0.0064,landing_gear,5,weather,1,human_factors,1,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",1,5,1,9,0.3503,0,53.3,29,26.67,1,CRITICAL,31,2026-04-14,Based on 15 incidents (1980-2014)
MCDONNELL DOUGLAS,369D,MCDONNELL DOUGLAS 369D,HELI,135,1,5,54,53,1,26,1977-09-11,2013-09-12,2.1,"avall, pre1982, pre2008",19,33,2,3,6,10,9,11,5.56,20.37,1.59,3.13,2.21,,2.21,INSUFFICIENT_DATA,0.0113,engine_failure,8,human_factors,5,maintenance,1,100.0,0.0,100.0,0.0,0.0,100.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations, Underlying",2,1,1,15,0.3485,2,25.9,45,1.85,1,CRITICAL,33,2026-04-14,Based on 54 incidents (1977-2013)
FAIRCHILD,226T,FAIRCHILD 226T,AIR,135,2,19,18,15,3,11,1980-06-12,2003-06-28,1.6,"pre1982, pre2008",2,16,0,2,3,12,3,3,11.11,16.67,1.83,2.78,2.21,,2.21,INSUFFICIENT_DATA,0.0114,landing_gear,2,weather,1,,,0.0,100.0,0.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,6,0.1556,1,16.7,7,11.11,1,CRITICAL,32,2026-04-14,Based on 18 incidents (1980-2003)
PIPER,PA-32,PIPER PA-32,AIR,135,1,6,369,357,12,52,1965-12-08,2023-08-18,7.1,"avall, pre1982, pre2008",171,181,17,45,16,98,58,91,12.20,24.66,1.53,3.19,2.20,2.40,2.19,WORSENING,0.0184,landing_gear,40,engine_failure,23,weather,19,100.0,100.0,21.7,15.8,10.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",9,10,4,38,0.3495,8,26.3,7,12.74,1,CRITICAL,34,2026-04-14,Based on 369 incidents (1965-2023)
EMBRAER,EMB-110,EMBRAER EMB-110,AIR,135,2,20,15,9,6,11,1982-01-12,2014-05-21,1.4,"avall, pre2008",0,13,2,3,1,17,7,4,20.00,26.67,1.73,2.87,2.19,,2.19,INSUFFICIENT_DATA,0.0037,engine_failure,2,landing_gear,1,,,100.0,100.0,50.0,50.0,0.0,0.0,"Aircraft, Aircraft/Environment, Personnel, Personnel/Operations, Underlying",2,2,0,4,0.1632,1,20.0,7,20.00,1,CRITICAL,35,2026-04-14,Based on 15 incidents (1982-2014)
BEECHCRAFT,1900C,BEECHCRAFT 1900C,AIR,"121, 135",2,19,32,21,11,21,1984-06-04,2018-04-30,1.5,"avall, pre2008",0,22,10,7,3,40,7,7,21.88,21.88,1.88,2.63,2.18,1.80,2.19,IMPROVING,0.0174,landing_gear,12,weather,4,human_factors,1,0.0,100.0,100.0,25.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Personnel, Personnel/Operations",4,7,1,13,0.3490,0,53.1,9,34.38,1,CRITICAL,36,2026-04-14,Based on 32 incidents (1984-2018)
BEECHCRAFT,18,BEECHCRAFT 18,AIR,135,2,2,31,26,5,20,1965-09-23,2007-09-21,1.6,"pre1982, pre2008",15,16,0,4,2,4,2,10,12.90,32.26,1.52,3.16,2.17,,2.17,INSUFFICIENT_DATA,0.0392,landing_gear,3,weather,2,engine_failure,1,100.0,100.0,33.3,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,18,0.2983,1,19.4,7,9.68,1,CRITICAL,37,2026-04-14,Based on 31 incidents (1965-2007)
CESSNA,207,CESSNA 207,AIR,135,1,7,270,246,24,51,1969-11-19,2024-06-03,5.3,"avall, pre1982, pre2008",68,172,30,29,17,53,41,45,10.74,16.67,1.59,3.03,2.16,2.13,2.17,STABLE,0.0100,landing_gear,30,weather,26,engine_failure,20,100.0,100.0,35.0,7.7,0.0,5.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Other, Personnel, Personnel/Operations, Underlying",15,33,9,32,0.2771,8,35.6,9,14.07,1,CRITICAL,39,2026-04-14,Based on 270 incidents (1969-2024)
PIPER,PA-60,PIPER PA-60,AIR,135,2,4,17,13,4,11,1981-05-07,2002-07-18,1.5,"pre1982, pre2008",2,15,0,2,2,4,2,4,11.76,23.53,1.65,2.94,2.16,,2.16,INSUFFICIENT_DATA,0.0724,weather,1,engine_failure,1,landing_gear,1,100.0,100.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,6,0.1842,0,17.6,7,5.88,1,CRITICAL,38,2026-04-14,Based on 17 incidents (1981-2002)
BRITISH AEROSPACE,3101,BRITISH AEROSPACE 3101,AIR,"121, 135",2,20,16,10,6,10,1985-02-12,2012-08-29,1.6,"avall, pre2008",0,15,1,2,4,25,18,5,12.50,31.25,2.00,2.38,2.15,,2.15,INSUFFICIENT_DATA,-0.0367,engine_failure,2,weather,2,human_factors,1,100.0,100.0,100.0,50.0,0.0,0.0,"Aircraft, Aircraft/Environment, Personnel, Personnel/Operations",1,1,0,9,0.3009,0,31.3,7,37.50,1,CRITICAL,40,2026-04-14,Based on 16 incidents (1985-2012)
FAIRCHILD,226,FAIRCHILD 226,AIR,135,2,19,11,8,3,8,1979-01-15,2006-02-08,1.4,"pre1982, pre2008",1,10,0,1,3,1,3,1,9.09,9.09,2.00,2.36,2.15,,2.15,INSUFFICIENT_DATA,0.0796,landing_gear,2,,,,,0.0,50.0,50.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Other, Personnel/Operations, Underlying",0,0,0,6,0.2407,1,18.2,7,0.00,1,CRITICAL,41,2026-04-14,Based on 11 incidents (1979-2006)
PIPER,PA-34,PIPER PA-34,AIR,135,2,4,90,75,15,26,1973-10-07,2006-01-07,3.5,"pre1982, pre2008",50,40,0,14,0,19,1,23,15.56,25.56,1.52,3.06,2.14,,2.14,INSUFFICIENT_DATA,0.0402,landing_gear,11,weather,3,engine_failure,3,100.0,100.0,54.5,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,25,0.3662,4,22.2,7,10.00,1,CRITICAL,42,2026-04-14,Based on 90 incidents (1973-2006)
CESSNA,A185,CESSNA A185,AIR,135,1,5,61,60,1,33,1973-01-17,2024-08-08,1.8,"avall, pre1982, pre2008",19,33,9,6,5,11,17,13,9.84,21.31,1.48,3.15,2.14,2.47,2.11,WORSENING,0.0087,landing_gear,7,weather,4,human_factors,3,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",5,2,0,21,0.3375,0,27.9,9,0.00,1,CRITICAL,43,2026-04-14,Based on 61 incidents (1973-2024)
EUROCOPTER,AS350,EUROCOPTER AS350,HELI,135,1,6,18,17,1,15,1980-09-03,2022-07-29,1.2,"avall, pre1982, pre2008",2,7,9,2,1,9,3,1,11.11,5.56,1.56,3.00,2.13,2.10,2.15,STABLE,0.0117,human_factors,4,weather,2,engine_failure,2,100.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Personnel, Personnel/Operations",4,7,2,5,0.3580,0,55.6,45,5.56,1,CRITICAL,44,2026-04-14,Based on 18 incidents (1980-2022)
CESSNA,U206,CESSNA U206,AIR,135,1,6,214,210,4,55,1965-08-15,2025-07-25,3.9,"avall, pre1982, pre2008",105,66,43,20,8,51,19,45,9.35,21.03,1.44,3.14,2.12,2.23,2.11,STABLE,0.0077,landing_gear,20,engine_failure,18,weather,7,100.0,100.0,35.0,14.3,0.0,5.0,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Personnel, Personnel/Operations, Underlying",29,28,9,34,0.3704,7,26.6,7,2.34,2,HIGH,46,2026-04-14,Based on 214 incidents (1965-2025)
CESSNA,210,CESSNA 210,AIR,135,1,2,97,89,8,40,1964-06-10,2025-07-24,2.4,"avall, pre1982, pre2008",44,45,8,9,4,11,4,25,9.28,25.77,1.41,3.18,2.12,1.80,2.12,IMPROVING,0.0120,landing_gear,20,engine_failure,11,human_factors,1,100.0,18.2,100.0,10.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",12,2,0,26,0.3081,1,33.0,7,8.25,2,HIGH,47,2026-04-14,Based on 97 incidents (1964-2025)
BELL,212,BELL 212,HELI,135,2,14,24,22,2,12,1973-11-29,2003-12-03,2.0,"pre1982, pre2008",17,7,0,4,0,6,1,6,16.67,25.00,1.58,2.92,2.12,,2.12,INSUFFICIENT_DATA,-0.0382,hydraulic,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,12,0.3350,0,4.2,7,4.17,2,HIGH,45,2026-04-14,Based on 24 incidents (1973-2003)
BELL,47G-4A,BELL 47G-4A,HELI,135,1,,22,22,0,12,1966-10-08,1979-09-06,1.8,pre1982,22,0,0,0,2,0,2,10,0.00,45.45,1.23,3.45,2.12,,2.12,INSUFFICIENT_DATA,0.0186,,,,,,,,,,,,,Legacy,0,0,0,13,0.5946,2,0.0,13,0.00,2,HIGH,49,2026-04-14,Based on 22 incidents (1966-1979)
BELL,47G-2A,BELL 47G-2A,HELI,135,1,,12,12,0,8,1965-06-19,1974-08-11,1.5,pre1982,12,0,0,1,1,1,3,4,8.33,33.33,1.42,3.17,2.12,,2.12,INSUFFICIENT_DATA,-0.0578,,,,,,,,,,,,,Legacy,0,0,0,9,0.5166,0,0.0,22,0.00,2,HIGH,48,2026-04-14,Based on 12 incidents (1965-1974)
LEAR,25B,LEAR 25B,AIR,135,2,10,10,10,0,9,1979-07-06,2004-09-04,1.1,"pre1982, pre2008",2,8,0,0,2,0,3,2,0.00,20.00,1.40,3.20,2.12,,2.12,INSUFFICIENT_DATA,-0.0009,landing_gear,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,5,0.2056,0,20.0,7,10.00,2,HIGH,49,2026-04-14,Based on 10 incidents (1979-2004)
AEROSTAR,600,AEROSTAR 600,AIR,135,2,2,20,18,2,13,1970-04-01,1993-03-03,1.5,"pre1982, pre2008",10,10,0,3,0,4,0,4,15.00,20.00,1.45,3.10,2.11,,2.11,INSUFFICIENT_DATA,0.0692,human_factors,1,,,,,0.0,0.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,11,0.3319,1,5.0,7,15.00,2,HIGH,51,2026-04-14,Based on 20 incidents (1970-1993)
CESSNA,310,CESSNA 310,AIR,135,2,6,178,164,14,44,1964-01-30,2022-10-13,4.0,"avall, pre1982, pre2008",114,59,5,17,5,26,9,52,9.55,29.21,1.37,3.20,2.10,1.80,2.10,IMPROVING,0.0206,landing_gear,29,weather,10,engine_failure,5,100.0,100.0,40.0,10.0,3.4,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",4,3,0,34,0.3704,6,28.7,7,9.55,2,HIGH,52,2026-04-14,Based on 178 incidents (1964-2022)
BEECHCRAFT,E18S,BEECHCRAFT E18S,AIR,135,2,2,170,152,18,34,1966-09-25,2011-05-02,5.0,"avall, pre1982, pre2008",128,40,2,16,4,34,16,55,9.41,32.35,1.38,3.19,2.10,,2.10,INSUFFICIENT_DATA,0.0281,weather,7,landing_gear,4,engine_failure,2,100.0,100.0,50.0,14.3,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",1,2,0,33,0.4198,4,10.0,7,7.06,2,HIGH,53,2026-04-14,Based on 170 incidents (1966-2011)
MCDONNELL DOUGLAS,369E,MCDONNELL DOUGLAS 369E,HELI,135,1,5,12,12,0,11,1994-09-04,2024-07-13,1.1,"avall, pre2008",0,4,8,0,1,0,1,0,0.00,0.00,1.50,3.00,2.10,1.95,2.18,IMPROVING,-0.0092,engine_failure,4,landing_gear,2,human_factors,1,100.0,50.0,100.0,50.0,0.0,25.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Personnel, Personnel/Operations",4,2,1,4,0.3202,0,66.7,45,0.00,2,HIGH,54,2026-04-14,Based on 12 incidents (1994-2024)
CESSNA,402,CESSNA 402,AIR,135,2,9,288,235,53,53,1967-06-24,2024-09-17,5.4,"avall, pre1982, pre2008",103,156,29,40,14,108,34,59,13.89,20.49,1.56,2.90,2.09,1.90,2.10,STABLE,0.0038,landing_gear,56,weather,14,engine_failure,13,100.0,100.0,14.3,15.4,1.8,1.8,"Aircraft, Aircraft/Environment, Environmental, Legacy, Not determined, Organizational, Other, Personnel, Personnel/Operations, Underlying",11,12,5,38,0.3334,7,32.3,7,12.50,2,HIGH,56,2026-04-14,Based on 288 incidents (1967-2024)
PIPER,PA-28,PIPER PA-28,AIR,"121, 135",1,4,101,93,8,26,1964-07-14,1996-11-07,3.9,"pre1982, pre2008",81,20,0,7,4,21,9,37,6.93,36.63,1.30,3.27,2.09,,2.09,INSUFFICIENT_DATA,0.0001,fuel_related,2,human_factors,2,landing_gear,1,0.0,0.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,25,0.3792,5,5.9,7,1.98,2,HIGH,57,2026-04-14,Based on 101 incidents (1964-1996)
BEECHCRAFT,45J,BEECHCRAFT 45J,AIR,135,2,2,13,11,2,11,1967-10-20,2010-12-14,1.2,"avall, pre1982, pre2008",8,4,1,2,0,3,0,4,15.38,30.77,1.38,3.15,2.09,,2.09,INSUFFICIENT_DATA,0.0324,weather,1,,,,,0.0,100.0,0.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations",0,0,0,6,0.3245,1,7.7,7,15.38,2,HIGH,55,2026-04-14,Based on 13 incidents (1967-2010)
BEECHCRAFT,G18S,BEECHCRAFT G18S,AIR,135,2,2,49,44,5,20,1968-12-18,2009-07-13,2.5,"avall, pre1982, pre2008",27,21,1,3,2,4,2,15,6.12,30.61,1.33,3.20,2.08,,2.08,INSUFFICIENT_DATA,0.0113,engine_failure,2,human_factors,2,landing_gear,2,100.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Legacy, Personnel, Personnel/Operations, Underlying",1,1,0,20,0.3229,0,16.3,7,6.12,2,HIGH,59,2026-04-14,Based on 49 incidents (1968-2009)
CESSNA,401,CESSNA 401,AIR,135,2,8,36,35,1,21,1969-02-06,2005-06-20,1.7,"pre1982, pre2008",14,22,0,4,0,15,3,8,11.11,22.22,1.39,3.11,2.08,,2.08,INSUFFICIENT_DATA,0.0184,landing_gear,4,engine_failure,2,weather,1,100.0,100.0,0.0,25.0,25.0,0.0,"Aircraft/Environment, Legacy, Personnel/Operations, Underlying",0,0,0,15,0.2748,1,19.4,7,8.33,2,HIGH,58,2026-04-14,Based on 36 incidents (1969-2005)
FAIRCHILD,227A,FAIRCHILD 227A,AIR,135,2,21,11,7,4,7,1982-12-08,1994-10-29,1.6,pre2008,0,11,0,2,0,11,1,2,18.18,18.18,1.82,2.45,2.07,,2.07,INSUFFICIENT_DATA,-0.1091,weather,1,human_factors,1,,,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,7,0.2950,1,18.2,7,18.18,2,HIGH,60,2026-04-14,Based on 11 incidents (1982-1994)
