manufacturer,model_family,model_full,aircraft_category,operation_types,typical_engines,typical_seats,total_incidents,total_accidents,total_incidents_only,years_with_incidents,first_incident_date,last_incident_date,avg_incidents_per_year,data_eras,incidents_pre1982,incidents_pre2008,incidents_avall,fatal_event_count,serious_event_count,total_fatalities,total_serious_injuries,destroyed_count,fatality_rate_pct,destruction_rate_pct,avg_injury_score,avg_damage_score,weighted_severity_score,recent_severity,historical_severity,severity_trend,severity_slope,top_failure_1,top_failure_1_count,top_failure_2,top_failure_2_count,top_failure_3,top_failure_3_count,pct_engine_failure,pct_weather_related,pct_human_factor,pct_fire_related,pct_structural_failure,pct_maintenance_related,causal_finding_categories,aircraft_causes,personnel_causes,environmental_causes,n_distinct_clusters,avg_anomaly_score,high_anomaly_count,pct_nlp_categorized,dominant_cluster_id,pct_imc_conditions,risk_quartile,risk_tier,risk_rank,data_as_of,data_note
LOCKHEED,L-1011,LOCKHEED L-1011,AIR,121,3,302,34,14,20,14,1982-01-13,2000-12-30,2.4,pre2008,0,34,0,2,6,134,21,2,5.88,5.88,1.65,1.35,1.53,,1.53,INSUFFICIENT_DATA,0.0025,landing_gear,4,weather,3,human_factors,2,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,11,0.2055,0,26.5,7,11.76,4,LOW,156,2026-04-14,Based on 34 incidents (1982-2000)
DEHAVILLAND,7,DEHAVILLAND 7,AIR,"121, 135",4,55,11,3,8,10,1977-12-06,1993-03-05,1.1,"pre1982, pre2008",2,9,0,0,3,0,3,0,0.00,0.00,1.64,1.36,1.53,,1.53,INSUFFICIENT_DATA,0.0256,landing_gear,1,weather,1,human_factors,1,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft/Environment, Legacy, Other, Personnel/Operations",0,0,0,6,0.2183,0,27.3,7,9.09,4,LOW,158,2026-04-14,Based on 11 incidents (1977-1993)
BOEING,737,BOEING 737,AIR,"121, 135",2,145,502,277,225,45,1982-01-13,2026-03-24,11.2,"avall, pre2008",0,264,238,11,158,270,221,9,2.19,1.79,1.72,1.13,1.48,1.39,1.52,STABLE,-0.0047,weather,129,landing_gear,75,engine_failure,14,100.0,100.0,71.4,42.9,2.7,2.7,"Aircraft, Aircraft/Environment, Environmental, Organizational, Other, Personnel, Personnel/Operations, Underlying",33,94,35,27,0.3277,3,48.8,28,15.34,4,LOW,160,2026-04-14,Based on 502 incidents (1982-2026)
AIRBUS,A321,AIRBUS A321,AIR,121,2,204,32,26,6,13,2005-09-18,2026-02-09,2.5,"avall, pre2008",0,1,31,0,11,0,11,0,0.00,0.00,1.63,1.25,1.48,1.43,1.80,IMPROVING,-0.0247,weather,10,landing_gear,5,engine_failure,1,100.0,100.0,0.0,100.0,0.0,0.0,"Environmental, Personnel, Personnel/Operations",0,8,5,13,0.3832,0,50.0,14,6.25,4,LOW,161,2026-04-14,Based on 32 incidents (2005-2026)
FOKKER,28,FOKKER 28,AIR,121,2,69,13,7,6,12,1985-10-24,2003-09-04,1.1,pre2008,0,13,0,1,3,27,12,1,7.69,7.69,1.69,1.15,1.48,,1.48,INSUFFICIENT_DATA,0.0185,weather,6,engine_failure,1,hydraulic,1,100.0,100.0,33.3,100.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,11,0.3488,0,61.5,7,15.38,4,LOW,159,2026-04-14,Based on 13 incidents (1985-2003)
AIRBUS,A320,AIRBUS A320,AIR,121,2,160,81,44,37,27,1990-08-10,2025-11-29,3.0,"avall, pre2008",0,23,58,0,30,0,39,0,0.00,0.00,1.79,0.99,1.47,1.46,1.48,STABLE,0.0015,weather,23,landing_gear,17,human_factors,3,0.0,100.0,100.0,17.6,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Organizational, Personnel, Personnel/Operations, Underlying",9,17,8,18,0.3752,1,60.5,14,13.58,4,LOW,163,2026-04-14,Based on 81 incidents (1990-2025)
DEHAVILLAND,8,DEHAVILLAND 8,AIR,"121, 135",2,40,30,14,16,19,1986-12-03,2014-08-10,1.6,"avall, pre2008",0,26,4,1,4,0,7,1,3.33,3.33,1.40,1.57,1.47,,1.47,INSUFFICIENT_DATA,0.0078,landing_gear,6,weather,5,fuel_related,1,0.0,100.0,100.0,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Personnel, Personnel/Operations, Underlying",2,1,2,11,0.3640,0,53.3,38,0.00,4,LOW,162,2026-04-14,Based on 30 incidents (1986-2014)
BOEING,767,BOEING 767,AIR,"121, 135",2,220,153,79,74,42,1983-01-24,2026-01-16,3.6,"avall, pre2008",0,75,78,3,49,160,56,4,1.96,2.61,1.69,1.05,1.43,1.41,1.44,STABLE,0.0001,weather,38,landing_gear,12,human_factors,5,0.0,100.0,100.0,25.0,2.6,0.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Organizational, Personnel, Personnel/Operations, Underlying",13,16,12,20,0.3293,1,43.1,16,8.50,4,LOW,165,2026-04-14,Based on 153 incidents (1983-2026)
BOEING,747,BOEING 747,AIR,121,4,403,136,53,83,43,1972-11-21,2026-02-08,3.2,"avall, pre1982, pre2008",2,96,38,8,20,512,58,5,5.88,3.68,1.44,1.42,1.43,1.07,1.48,IMPROVING,-0.0024,weather,16,engine_failure,12,landing_gear,9,100.0,100.0,25.0,50.0,0.0,11.1,"Aircraft, Aircraft/Environment, Environmental, Legacy, Organizational, Personnel, Personnel/Operations, Underlying",11,5,4,20,0.3399,0,36.8,7,5.88,4,LOW,164,2026-04-14,Based on 136 incidents (1972-2026)
CESSNA,560,CESSNA 560,AIR,135,2,10,16,8,8,12,2003-11-11,2023-11-26,1.3,"avall, pre2008",0,4,12,0,1,0,0,1,0.00,6.25,1.13,1.88,1.43,1.56,1.36,STABLE,0.0096,landing_gear,7,,,,,0.0,14.3,14.3,14.3,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Personnel, Personnel/Operations",7,1,2,5,0.4245,0,43.8,29,0.00,4,LOW,166,2026-04-14,Based on 16 incidents (2003-2023)
EMBRAER,EMB-135,EMBRAER EMB-135,AIR,121,2,40,12,7,5,8,2000-12-28,2011-08-08,1.5,"avall, pre2008",0,7,5,0,3,0,3,0,0.00,0.00,1.50,1.33,1.43,,1.43,INSUFFICIENT_DATA,-0.0454,landing_gear,5,weather,2,,,0.0,100.0,40.0,0.0,0.0,0.0,"Aircraft/Environment, Environmental, Organizational, Personnel, Personnel/Operations",0,5,1,6,0.3595,0,58.3,38,8.33,4,LOW,166,2026-04-14,Based on 12 incidents (2000-2011)
AIRBUS,A319,AIRBUS A319,AIR,121,2,140,45,25,20,24,2001-11-02,2025-07-19,1.9,"avall, pre2008",0,12,33,0,22,0,23,0,0.00,0.00,1.91,0.67,1.41,1.26,1.52,IMPROVING,-0.0177,weather,23,landing_gear,3,engine_failure,2,100.0,100.0,100.0,50.0,33.3,0.0,"Aircraft, Aircraft/Environment, Environmental, Personnel, Personnel/Operations, Underlying",5,10,12,11,0.3514,0,68.9,16,11.11,4,LOW,168,2026-04-14,Based on 45 incidents (2001-2025)
BRITISH AEROSPACE,146,BRITISH AEROSPACE 146,AIR,121,4,93,17,2,15,13,1984-05-12,2005-06-10,1.3,pre2008,0,17,0,1,1,43,2,1,5.88,5.88,1.47,1.29,1.40,,1.40,INSUFFICIENT_DATA,-0.0143,fuel_related,2,fire,1,hydraulic,1,0.0,50.0,100.0,100.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,9,0.2987,0,41.2,7,11.76,4,LOW,169,2026-04-14,Based on 17 incidents (1984-2005)
EMBRAER,EMB-145,EMBRAER EMB-145,AIR,"121, 135",2,55,35,18,17,16,2001-04-25,2026-03-20,2.2,"avall, pre2008",0,8,27,0,9,0,10,0,0.00,0.00,1.60,1.09,1.39,1.55,1.37,STABLE,0.0012,weather,12,landing_gear,7,,,0.0,100.0,8.3,0.0,0.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Not determined, Personnel, Personnel/Operations, Underlying",6,11,6,9,0.3721,0,54.3,14,14.29,4,LOW,170,2026-04-14,Based on 35 incidents (2001-2026)
EMBRAER,ERJ 170,EMBRAER ERJ 170,AIR,121,2,80,29,21,8,13,2008-12-27,2025-11-29,2.2,avall,0,0,29,1,13,0,14,0,3.45,0.00,1.86,0.66,1.38,1.19,1.80,IMPROVING,-0.0545,weather,9,bird_strike,1,landing_gear,1,0.0,100.0,0.0,0.0,0.0,0.0,"Aircraft, Environmental, Personnel",2,5,6,8,0.3825,0,37.9,35,17.24,4,LOW,171,2026-04-14,Based on 29 incidents (2008-2025)
BOEING,787,BOEING 787,AIR,121,2,274,17,10,7,10,2014-10-10,2026-03-29,1.7,avall,0,0,17,0,10,0,12,0,0.00,0.00,1.88,0.47,1.32,1.32,1.30,STABLE,0.0132,weather,5,engine_failure,1,,,100.0,100.0,100.0,100.0,0.0,0.0,"Aircraft, Environmental, Personnel",1,1,1,7,0.4334,0,35.3,1,23.53,4,LOW,172,2026-04-14,Based on 17 incidents (2014-2026)
BOEING,777,BOEING 777,AIR,121,2,305,69,39,30,26,1997-05-14,2025-09-09,2.7,"avall, pre2008",0,28,41,0,30,0,36,0,0.00,0.00,1.70,0.72,1.31,1.08,1.43,IMPROVING,-0.0285,weather,25,landing_gear,5,engine_failure,3,100.0,100.0,40.0,20.0,20.0,0.0,"Aircraft, Aircraft/Environment, Environmental, Organizational, Personnel, Personnel/Operations",3,4,7,10,0.3467,0,53.6,16,10.14,4,LOW,173,2026-04-14,Based on 69 incidents (1997-2025)
DORNIER,328,DORNIER 328,AIR,121,2,35,10,4,6,7,1995-08-03,2004-05-03,1.4,pre2008,0,10,0,0,2,0,2,0,0.00,0.00,1.50,1.00,1.30,,1.30,INSUFFICIENT_DATA,-0.0221,landing_gear,4,weather,4,,,0.0,100.0,0.0,0.0,0.0,0.0,"Aircraft/Environment, Personnel/Operations, Underlying",0,0,0,4,0.3659,0,80.0,14,10.00,4,LOW,174,2026-04-14,Based on 10 incidents (1995-2004)
AIRBUS,A330,AIRBUS A330,AIR,121,2,312,25,13,12,17,2005-08-29,2026-03-30,1.5,"avall, pre2008",0,2,23,0,7,0,11,0,0.00,0.00,1.48,0.96,1.27,1.18,1.51,IMPROVING,-0.0023,weather,4,engine_failure,3,landing_gear,2,100.0,100.0,66.7,50.0,0.0,0.0,"Aircraft, Environmental, Personnel, Personnel/Operations",1,4,3,11,0.3540,0,40.0,16,0.00,4,LOW,175,2026-04-14,Based on 25 incidents (2005-2026)
