ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20080128X00108,MIA08FA044,ACC,2008-01-22 00:00:00,Tu,1734,UTC,Ochopee,FL,USA,34141,2008,1,,,255141N,0805250W,,Dade-Collier T and T Airport,KTNT,ONAP,0.0,,13,,WFAC,1653,97,KMIA,10,33,UTC,DAYL,,0,2100,BKN,,,10.0,79,64,80,U,15,F,T,0,30.200000762939453,,,,FATL,,,,2,0,0,0,2,N,,,,,,2020-09-25 18:04:02,,VMC,,25.861389,-80.880554,avall.mdb,2026-04-14 02:17:37.493608
20080123X00098,LAX08FA047,ACC,2008-01-18 00:00:00,Fr,2200,UTC,Selma,CA,USA,93725,2008,1,,,363354N,1194326W,,Fresno Chandler Executive,KFCH,OFAP,12.0,,279,,WFAC,2153,360,KFAT,336,13,UTC,DAYL,CLER,0,0,NONE,,,5.0,55,34,290,U,3,F,T,0,30.200000762939453,,,,FATL,,,,1,0,0,0,1,N,,,,,,2020-09-25 18:06:16,,VMC,,36.564998,-119.723892,avall.mdb,2026-04-14 02:17:37.493608
20080220X00213,LAX08CA048,ACC,2008-01-19 00:00:00,Sa,2100,UTC,Vacaville,CA,USA,95687,2008,1,,,382240N,1215742W,,Nut Tree,VCB,ONAP,0.0,,117,,WIT,,0,,,0,,DAYL,CLER,0,0,NONE,,,10.0,0,0,0,U,,F,T,0,0.0,,,,MINR,,,,0,1,1,0,2,,,,,,,2020-09-25 18:06:16,,VMC,,38.377777,-121.961669,avall.mdb,2026-04-14 02:17:37.493608
20080130X00124,LAX08FA049,ACC,2008-01-20 00:00:00,Su,2334,UTC,Corona,CA,USA,92882,2008,1,Y,N,335256N,0117373W,EST,,,OFAP,0.0,,,,WFAC,2356,25,AJO,533,1,UTC,DAYL,CLER,0,0,NONE,,,10.0,61,36,270,U,7,F,T,0,29.899999618530273,,,,FATL,1,,,4,0,0,0,5,N,,,,,,2020-09-25 18:06:16,,VMC,,33.882221,-117.6175,avall.mdb,2026-04-14 02:17:37.493608
20080122X00084,DCA08WA030,ACC,2008-01-15 00:00:00,Tu,1120,UTC,Port Said,,EG,,2008,1,,,,,,,,,0.0,,,,WFAC,,0,,,0,,,CLER,0,0,,,,,0,0,0,U,,F,F,0,0.0,,,,FATL,,,,2,0,0,0,2,O,,,,,,2020-09-25 18:07:50,,VMC,,,,avall.mdb,2026-04-14 02:17:37.493608
20080122X00086,DCA08WA031,ACC,2008-01-19 00:00:00,Sa,732,UTC,Huambo,,AO,,2008,1,,,012466S,0155418E,,,,,0.0,,,,WIT,,0,,,0,,,,0,0,,,,,0,0,0,U,,F,F,0,0.0,,,,FATL,,,,13,0,0,0,13,O,,,,,,2020-09-25 18:07:50,,IMC,,-12.768333,15.904999,avall.mdb,2026-04-14 02:17:37.493608
20080122X00082,CHI08LA067,ACC,2008-01-12 00:00:00,Sa,1838,UTC,Garrison,MN,USA,56401,2008,1,,,461917N,0935025W,,,,OFAP,0.0,,,,WFAC,1806,270,BRD,1232,20,UTC,DAYL,,0,1100,OVC,,,8.0,21,16,360,U,5,F,T,0,30.010000228881836,,,,SERS,,,,0,0,0,1,1,N,,,,,,2020-09-25 18:07:03,,VMC,,46.321388,-93.840278,avall.mdb,2026-04-14 02:17:37.493608
20080122X00088,CHI08IA065,INC,2008-01-08 00:00:00,Tu,2345,UTC,Lincoln,NE,USA,68524,2008,1,,,040515N,0964555W,,LINCOLN MUNI,LNK,ONAP,0.0,,1219,,WFAC,2254,0,LNK,1219,0,UTC,NITE,CLER,0,0,NONE,,,10.0,37,23,280,U,6,F,F,0,30.049999237060547,,,,NONE,,,,0,0,38,0,38,N,,,,,,2020-09-25 18:06:16,,VMC,,40.851387,-96.765274,avall.mdb,2026-04-14 02:17:37.493608
20080411X00456,ANC08IA033,INC,2008-01-18 00:00:00,Fr,1645,UTC,Dutch Harbor,AK,USA,99692,2008,1,,,535425N,1663257W,,Dutch Harbor,L2G,ONAP,0.0,,,,WFAC,1636,0,PAUD,22,0,UTC,DAYL,SCAT,2500,3300,OVC,,,9.0,45,36,130,U,37,F,F,47,0.0,,,,NONE,,,,0,0,2,0,2,N,,,,,,2020-09-25 18:04:02,,VMC,,53.906944,-166.549163,avall.mdb,2026-04-14 02:17:37.493608
20080125X00103,CHI08LA071,ACC,2008-01-09 00:00:00,We,1249,UTC,Detroit,MI,USA,48242,2008,1,,,421245N,0832112W,,Detroit Metro,DTW,OFAP,1.0,,645,,WFAC,1253,270,DTW,645,1,UTC,DAYL,,0,3800,BKN,,,10.0,39,30,280,U,15,F,T,0,29.889999389648438,,,,NONE,,,,0,0,73,0,73,N,,,,,,2020-09-25 18:07:03,,VMC,,42.212501,-83.353332,avall.mdb,2026-04-14 02:17:37.493608
