ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20001206X01020,ANC94LA050,ACC,1994-04-17 00:00:00,Su,2220,UTC,FAIRBANKS,AK,USA,99709,1994,4,,,064540N,0148938W,MEAS,FAIRBANKS INTERNATIONAL,FAI,ONAP,0.0,,439,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,50.0,45,0,360,U,,F,T,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:26:56,,VMC,,64.899925,-148.160446,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01191,ANC94LA053,ACC,1994-05-02 00:00:00,Mo,15,UTC,GUSTAVUS,AK,USA,99826,1994,5,,,582513N,1354649W,MEAS,,,OFAP,0.0,,,,,1916,270,GST,36,5,UTC,DAYL,SCAT,3000,0,UNK,,,10.0,50,34,0,U,,F,F,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-12-15 20:40:58,,VMC,,58.420314,-135.78041,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01192,ANC94LA055,ACC,1994-05-07 00:00:00,Sa,845,UTC,ALLAKAKET,AK,USA,99720,1994,5,,,663410N,0152571W,MEAS,ALLAKAKET,AET,ONAP,0.0,,350,,,,0,,,0,,NDRK,UNK,0,12000,BKN,,,50.0,50,0,0,Y,,T,F,0,29.0,,,,NONE,0,0,0,0,0,6,0,6,N,,,,,,2021-12-15 20:40:59,,VMC,,66.569442,-152.950149,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01193,ANC94LA056,ACC,1994-05-09 00:00:00,Mo,130,UTC,CIRCLE HOT SPRI,AK,USA,99701,1994,5,,,644833N,1474311W,MEAS,CIRCLE HOT SPRINGS,CHP,ONAP,0.0,,980,,PILO,,0,,,0,,DAYL,SCAT,4500,0,BKN,,,30.0,0,0,180,U,15,F,T,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-12-15 20:41:00,,VMC,,64.809295,-147.719726,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01194,ANC94LA057,ACC,1994-05-24 00:00:00,Tu,2056,UTC,KENAI,AK,USA,99611,1994,5,,,603933N,1505357W,MEAS,,,OFAP,0.0,,,,,1257,0,ENA,,0,,DAYL,UNK,0,4700,BKN,,,50.0,52,30,0,U,,F,F,0,29.0,,,,MINR,0,0,0,0,1,0,0,1,N,,,,,,2021-09-20 15:26:57,,VMC,,60.659236,-150.899078,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01195,ANC94LA058,ACC,1994-05-24 00:00:00,Tu,1900,UTC,LAKE GEORGE,AK,USA,99645,1994,5,,,613710N,1485850W,MEAS,LAKE GEORGE STRIP,,ONAP,0.0,,1500,,PILO,1100,0,,,0,,DAYL,CLER,0,0,NONE,,,50.0,45,0,0,U,,F,F,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:26:57,,VMC,,61.619323,-148.980667,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01196,ANC94LA059,ACC,1994-05-29 00:00:00,Su,1954,UTC,FAIRBANKS,AK,USA,99709,1994,5,,,064540N,0148939W,MEAS,FAIRBANKS INTL,FAI,ONAP,1.0,190,434,,PILO,,0,FAI,,0,,DAYL,SCAT,8000,10000,BKN,,,100.0,57,28,290,U,5,F,T,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:26:58,,VMC,,64.900123,-148.160964,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01197,ANC94LA060,ACC,1994-05-23 00:00:00,Mo,2000,UTC,PILOT POINT,AK,USA,99649,1994,5,,,057300N,1571646W,MEAS,UPPER OLDS CREEK STRIP,,ONAP,0.0,,300,,PILO,1200,0,,,0,,DAYL,UNK,0,1000,OVC,,,10.0,50,45,180,U,8,F,F,12,29.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:26:58,,VMC,,57.49998,-157.279388,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01198,ANC94LA061,ACC,1994-05-28 00:00:00,Sa,2235,UTC,ANCHORAGE,AK,USA,99510,1994,5,,,007060N,1495212W,MEAS,ANCHORAGE INTERNATIONAL,ANC,ONAP,1.0,320,144,,PILO,,0,,,0,,DAYL,SCAT,5000,0,NONE,,,30.0,61,50,320,U,5,F,F,0,0.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:26:59,,VMC,,70.099899,-149.870056,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01199,ANC94LA062,ACC,1994-06-01 00:00:00,We,630,UTC,KOTZEBUE,AK,USA,99752,1994,6,,,671426N,1611127W,MEAS,KOTZEBUE AIRPORT,OTZ,ONAP,0.0,,8,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,60.0,34,19,260,U,10,F,T,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:26:59,,VMC,,67.240486,-161.190902,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01414,ANC94LA063,ACC,1994-06-01 00:00:00,We,2200,UTC,FAIRBANKS,AK,USA,99708,1994,6,,,,,,,,OFAP,0.0,,,,,,0,,,0,,DAYL,UNK,0,4500,BKN,,,90.0,66,54,10,U,8,F,T,0,29.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:27:00,,VMC,,,,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01415,ANC94LA064,ACC,1994-06-04 00:00:00,Sa,430,UTC,TYONEK,AK,USA,99682,1994,6,,,061451N,0151939W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,CLER,0,0,NONE,,,90.0,0,0,0,U,,F,T,0,0.0,,,,NONE,0,0,0,0,0,4,0,4,N,,,,,,2021-09-20 15:27:00,,VMC,,61.080879,-151.160934,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01416,ANC94LA065,ACC,1994-06-06 00:00:00,Mo,200,UTC,WASSILA-CHERI,AK,USA,99687,1994,6,,,,,,,,OFAP,0.0,,,,,,0,,,0,,DAYL,CLER,0,0,NONE,,,90.0,50,0,360,U,4,F,F,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:27:01,,VMC,,,,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01417,ANC94LA066,ACC,1994-06-04 00:00:00,Sa,2300,UTC,NAKNEK,AK,USA,99633,1994,6,,,058480N,1565359W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,CLER,0,0,NONE,,,80.0,70,36,0,U,,F,T,0,0.0,,,,MINR,0,0,0,0,1,0,0,1,N,,,,,,2021-09-20 15:27:01,,VMC,,58.80001,-156.899826,Pre2008.mdb,2026-04-14 02:18:25.664087
