ev_id,ev_type,ev_date,event_year,event_month,ev_city,ev_state,ev_country,ev_highest_injury,light_cond,wx_cond_basic,vis_sm,wind_vel_kts,fatalities,serious_injuries,minor_injuries,uninjured,dec_latitude,dec_longitude,injury_score,weather_category,source_era
20080430X00573,ACC,2008-04-12 00:00:00,2008,4,Stevensville,MD,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,38.974935,-76.326893,1,VMC,avall
20080416X00499,ACC,2008-04-13 00:00:00,2008,4,Big Lake,AK,USA,MINR,DAYL,VMC,10.0,4,0,0,1,0,61.534999,-149.808334,2,VMC,avall
20080415X00483,ACC,2008-04-11 00:00:00,2008,4,Roseglen,ND,USA,FATL,NITE,VMC,10.0,7,2,0,0,0,47.695278,-101.760276,4,VMC,avall
20080415X00486,ACC,2008-03-23 00:00:00,2008,3,Fairbanks,AK,USA,NONE,DUSK,VMC,10.0,15,0,0,0,2,65.05194,-146.0475,1,VMC,avall
20080528X00734,ACC,2008-04-11 00:00:00,2008,4,Roswell,NM,USA,NONE,DAYL,VMC,10.0,19,0,0,0,1,33.301387,-104.530555,1,VMC,avall
20080523X00717,ACC,2008-04-15 00:00:00,2008,4,Holbrook,AZ,USA,SERS,DAYL,VMC,10.0,13,0,1,1,0,34.711387,-110.27111,3,VMC,avall
20080422X00529,ACC,2008-04-15 00:00:00,2008,4,Columbia,CA,USA,MINR,DAYL,VMC,10.0,10,0,0,1,1,38.030555,-120.414443,2,VMC,avall
20080422X00530,ACC,2008-04-16 00:00:00,2008,4,San Dimas,CA,USA,SERS,NITE,VMC,10.0,10,0,2,0,0,34.089168,-117.796943,3,VMC,avall
20080514X00665,ACC,2008-04-15 00:00:00,2008,4,White Plains,NY,USA,NONE,DAYL,VMC,10.0,11,0,0,0,4,41.666942,-73.707496,1,VMC,avall
20080501X00578,ACC,2008-03-30 00:00:00,2008,3,Grand Canyon,AZ,USA,NONE,DAYL,VMC,10.0,22,0,0,0,4,35.650554,-112.148056,1,VMC,avall
20080423X00534,ACC,2008-04-16 00:00:00,2008,4,Fort Carson,CO,USA,FATL,DAYL,VMC,10.0,25,1,0,0,0,38.635276,-104.863891,4,VMC,avall
20080417X00503,ACC,2008-04-07 00:00:00,2008,4,Quinton,OK,USA,NONE,,VMC,10.0,11,0,0,0,1,35.121944,-95.368614,1,VMC,avall
20080417X00501,ACC,2008-04-14 00:00:00,2008,4,Youngstown,OH,USA,SERS,DAYL,VMC,9.0,9,0,1,1,0,40.961666,-80.677223,3,VMC,avall
20080509X00646,INC,2008-02-11 00:00:00,2008,2,Jabiru,,AS,NONE,,VMC,,,0,0,0,2,-12.649999,132.883331,1,VMC,avall
20080417X00507,ACC,2008-04-04 00:00:00,2008,4,Tuscaloosa,AL,USA,NONE,DAYL,IMC,2.0,25,0,0,0,2,33.216667,-87.599998,1,IMC,avall
20080506X00619,ACC,2008-04-12 00:00:00,2008,4,Monroe,WA,USA,NONE,DAYL,VMC,10.0,6,0,0,0,3,47.871387,-121.995277,1,VMC,avall
20080527X00733,ACC,2008-04-11 00:00:00,2008,4,Toledo,WA,USA,SERS,DAYL,VMC,10.0,6,0,1,0,0,46.477222,-122.806114,3,VMC,avall
20080418X00514,ACC,2008-04-16 00:00:00,2008,4,Angleton,TX,USA,MINR,DAYL,VMC,10.0,3,0,0,1,0,29.177221,-95.435554,2,VMC,avall
20080515X00681,ACC,2008-04-13 00:00:00,2008,4,Buckeye,AZ,USA,SERS,DAYL,VMC,10.0,15,0,1,0,10,33.497501,-112.510833,3,VMC,avall
20080429X00563,ACC,2008-04-17 00:00:00,2008,4,Warrenton,VA,USA,FATL,DAYL,VMC,10.0,,1,0,0,0,38.655555,-77.786941,4,VMC,avall
