ev_id,aircraft_key,regis_no,far_part,damage,make_raw,model_raw,acft_series,manufacturer,model_family,model_full,acft_category,num_eng,total_seats,cert_max_gr_wt,acft_year,oper_name,oper_sched,oper_pax_cargo,type_fly,afm_hrs,second_pilot,damage_score,source_era
20081107X83550,1,N681KW,135,SUBS,PARTENAVIA SPA,P.68C,,PARTENAVIA SPA,68C,PARTENAVIA SPA 68C,AIR,2,7,4500,,Florida Aero Charter Inc.,NSCH,PAX,,6971.0,N,3,avall
20081110X15316,1,N254WN,121,MINR,BOEING,737-700,,BOEING,737,BOEING 737,AIR,2,137,154500,,SOUTHWEST AIRLINES CO,SCHD,PAX,,8595.0,Y,2,avall
20090604X25647,2,,121,,BOEING,767,,BOEING,767,BOEING 767,AIR,2,,,,AMERICAN AIRLINES INC,SCHD,PAX,,,N,0,avall
20081113X92722,1,N8698A,121,SUBS,BOMBARDIER INC,CL-600-2B19,,BOMBARDIER,CL-600,BOMBARDIER CL-600,AIR,2,55,,,"Pinnacle Airlines, Inc",SCHD,PAX,,14008.0,Y,3,avall
20081116X33137,1,N326EN,121,MINR,DeHavilland,DHC-8-311,,DEHAVILLAND,8,DEHAVILLAND 8,AIR,2,54,43200,,Piedmont Airlines,SCHD,PAX,BUS,33224.0,Y,2,avall
20081117X71613,1,N36CF,135,SUBS,CESSNA,207,,CESSNA,207,CESSNA 207,AIR,1,7,3800,,Flight Alaska,SCHD,PAX,,32600.0,N,3,avall
20081201X44308,1,N862DA,121,,BOEING,777,200,BOEING,777,BOEING 777,AIR,2,284,545000,,Delta Air Lines,SCHD,PAX,,41222.0,Y,0,avall
20081203X44941,1,N318WA,135,DEST,ROCKWELL INTERNATIONAL,690B,,ROCKWELL INTERNATIONAL,690B,ROCKWELL INTERNATIONAL 690B,AIR,2,9,10325,,Webstas Aviation Services,NSCH,PAX,,5286.0,N,4,avall
20081211X45825,1,N180AL,135,DEST,BELL,206L-4,,BELL,206,BELL 206,HELI,1,7,4450,,"Rotorcraft Leasing Company, LLC",NSCH,PAX,,6360.0,N,4,avall
20081219X65313,1,N551WN,121,MINR,BOEING,737,-76Q,BOEING,737,BOEING 737,AIR,2,145,154000,,"Southwest Airlines, Co.",SCHD,PAX,,21206.0,Y,2,avall
20081215X93019,1,N407AW,121,MINR,BOMBARDIER,CL-600-2B19,,BOMBARDIER,CL-600,BOMBARDIER CL-600,AIR,,53,53250,,AIR WISCONSIN AIRLINES CORPORATION,NSCH,PAX,POSI,19808.0,Y,2,avall
20081215X14936,1,N924DL,121,MINR,MCDONNELL DOUGLAS,MD88,88,MCDONNELL DOUGLAS,MD88,MCDONNELL DOUGLAS MD88,AIR,2,149,149500,,DELTA AIR LINES INC,SCHD,PAX,,53506.0,Y,2,avall
20081216X41655,1,N782NC,121,SUBS,MCDONNELL DOUGLAS,DC-9-50,,MCDONNELL DOUGLAS,DC-9,MCDONNELL DOUGLAS DC-9,AIR,2,132,99000,,NORTHWEST AIRLINES INC,SCHD,PAX,,66740.0,Y,3,avall
20081217X83220,1,N511MJ,121,MINR,BOMBARDIER,CL-600-2C10,,BOMBARDIER,CL-600,BOMBARDIER CL-600,AIR,2,64,75250,,"Mesa Airlines, Inc",SCHD,PAX,,14596.0,Y,2,avall
20081217X04130,1,N4504B,135,SUBS,CESSNA,402,B,CESSNA,402,CESSNA 402,AIR,2,2,6300,,"Freight Runners Express, Inc.",NSCH,CARG,,12805.0,N,3,avall
20081221X14648,1,N18611,121,SUBS,BOEING,737-524,,BOEING,737,BOEING 737,AIR,2,115,,,CONTINENTAL AIRLINES INC,SCHD,PAX,,,Y,3,avall
20081223X70710,1,N771AS,121,,BOEING,737-4Q8,,BOEING,737,BOEING 737,AIR,2,149,,,Alaska Airlines,SCHD,PAX,,,Y,0,avall
20081224X25658,1,N516AS,121,,BOEING,737-890,,BOEING,737,BOEING 737,AIR,2,166,174700,,Alaska Airlines,SCHD,PAX,,,Y,0,avall
20081228X24007,1,N890FE,135,SUBS,CESSNA,208B,,CESSNA,208,CESSNA 208,AIR,1,2,8785,,Corporate Air,NSCH,CARG,UNK,10062.0,N,3,avall
20081228X25156,1,N585NW,121,SUBS,BOEING,757-351,,BOEING,757,BOEING 757,AIR,2,235,271000,,NORTHWEST AIRLINES INC,SCHD,PAX,,23244.0,Y,3,avall
20081228X25156,2,N397DA,121,SUBS,BOEING,737-832,,BOEING,737,BOEING 737,AIR,2,168,173000,,DELTA AIR LINES INC,SCHD,PAX,,21347.0,Y,3,avall
20081229X40417,1,N871RW,121,,EMBRAER,ERJ 170-10,,EMBRAER,ERJ 170,EMBRAER ERJ 170,AIR,2,70,,,REPUBLIC AIRLINE INC,SCHD,PAX,,,Y,0,avall
20081229X80551,1,N9617R,121,SUBS,MCDONNELL DOUGLAS,DC-9-83,,MCDONNELL DOUGLAS,DC-9,MCDONNELL DOUGLAS DC-9,AIR,2,,,,AMERICAN AIRLINES INC,SCHD,PAX,,,Y,3,avall
20090102X60836,1,N486EV,121,SUBS,BOEING,747-212B,,BOEING,747,BOEING 747,AIR,4,11,833000,,EVERGREEN INTERNATIONAL AIRLINES INC,NSCH,CARG,,,Y,3,avall
20090104X12037,1,N748P,135,DEST,SIKORSKY,S-76C,,SIKORSKY,76C,SIKORSKY 76C,HELI,2,14,11700,,PHI INC,NSCH,PAX,,3288.0,Y,4,avall
20090105X01036,1,N864DA,121,MINR,BOEING,777,232,BOEING,777,BOEING 777,AIR,2,,,,Delta Air Lines,SCHD,PAX,,,Y,2,avall
20090105X33112,1,N39AK,135,SUBS,CESSNA,207A,,CESSNA,207,CESSNA 207,AIR,1,6,3800,,Alaska Juneau Aeronautics Inc.,SCHD,PAX,,26106.0,N,3,avall
20090105X82128,1,N141MK,135,SUBS,EUROCOPTER,AS 350 BA,,EUROCOPTER,350,EUROCOPTER 350,HELI,1,7,4961,,Schuman Aviation Company Ltd,NSCH,PAX,,14290.0,N,3,avall
20090106X53332,1,N70DD,135,SUBS,BEECH,58,,BEECHCRAFT,58,BEECHCRAFT 58,AIR,2,6,5400,,BEMIDJI AVIATION SERVICES INC,NSCH,PAX,,9894.0,N,3,avall
20090112X90757,1,N193EH,135,SUBS,EUROCOPTER,AS350,,EUROCOPTER,AS350,EUROCOPTER AS350,HELI,1,5,4961,,Era Helicopters LLC,NSCH,PAX,,7885.0,N,3,avall
20090114X61852,1,N844MJ,121,SUBS,EMBRAER,EMB145,LR,EMBRAER,EMB145,EMBRAER EMB145,AIR,2,53,48501,,"Freedom Airlines Inc.,",SCHD,PAX,,,Y,3,avall
20090115X73226,1,N106US,121,SUBS,AIRBUS,A320,214,AIRBUS,A320,AIRBUS A320,AIR,2,,,,US AIRWAYS INC,SCHD,PAX,,,Y,3,avall
20090122X34526,1,N2615G,135,,CESSNA,402C,,CESSNA,402,CESSNA 402,AIR,2,10,7210,,HYANNIS AIR SERVICE INC,SCHD,PAX,,23631.0,N,0,avall
20090127X92950,1,N902FX,121,SUBS,AEROSPATIALE ALENIA,ATR 42-320,,AEROSPATIALE ALENIA,42,AEROSPATIALE ALENIA 42,AIR,2,,37258,,Empire Airlines,NSCH,CARG,,29767.9,Y,3,avall
