recnum,trans_date,docket_no,regist_no,date_occurrence,locat_near,location,acft_make,acft_model,second_acft_regno,time_occur,acc_inc_class,locat_state_terr,acft_make_code,acft_model_code,engin_make,engin_model,type_craft,landing_gear,wgt_cat,no_engines,type_power,acft_adamg,fire_aftr_impt,fuel_type,type_operator,kind_fly_gena,name_comm_carr,operation_type,accident_type1,operation_phase1,accident_type2,operation_phase2,alt_of_occ,recv_alt,aircraft_speed,operator,forced_landing,emergency,recov_loss,oxy_systm,paraachute,light_cond,type_weathr,wethr_brief,wethr_forcast,flight_plan,instrm_approh,air_equt_inst_flt,airpt_proix,airpt_acc_dirt,lat_dist,airport_class,airport_name,elev_airpt,runwy_comp,runwy_cond,runwy_lite,runwy_hazz,runwy_barr,tower_unicom,runway_ln,depart_pt,lastpln_depart,inten_destin,gndele_accsite,terrain_typ,miss_aircft,airspace_seg,pilot_involed1,pilot_involed2,hours_total_pilot1,hours_total_pilot2,hours_in_type_pilot1,hours_in_type_pilot2,age_pilot1,age_pilot2,medical_cert_pilot1,medical_cert_pilot2,rating_1,rating_2,rated_aircraft_1,rated_aircraft_2,certificate_pilot1,certificate_pilot2,occupation_1,occupation_2,at_controls,cause_factor_1p,cause_factor_1m,cause_factor_1s,cause_factor_2p,cause_factor_2m,cause_factor_2s,cause_factor_3p,cause_factor_3m,cause_factor_3s,cause_factor_4p,cause_factor_4m,cause_factor_4s,cause_factor_5p,cause_factor_5m,cause_factor_5s,cause_factor_6p,cause_factor_6m,cause_factor_6s,cause_factor_7p,cause_factor_7m,cause_factor_7s,cause_factor_8p,cause_factor_8m,cause_factor_8s,cause_factor_9p,cause_factor_9m,cause_factor_9s,cause_factor_10p,cause_factor_10m,cause_factor_10s,injury_index,pilot_fatal,pilot_serious,pilot_minor,pilot_none,pilot_unknown,pilot_totals,co_pilot_fatal,co_pilot_serious,co_pilot_minor,co_pilot_none,co_pilot_unknown,co_pilot_totals,dual_student_fatal,dual_student_serious,dual_student_minor,dual_student_none,dual_student_unknown,dual_student_totals,hull_loss,chk_pilot_fatal,chk_pilot_serious,chk_pilot_minor,chk_pilot_none,chk_pilot_unknown,chk_pilot_totals,flt_engn_fatal,flt_engn_serious,flt_engn_minor,flt_engn_none,flt_engn_unknown,flt_engn_totals,navigtr_fatal,navigtr_serious,navigtr_minor,navigtr_none,navigtr_unknown,navigtr_totals,cabin_attn_fatal,cabin_attn_serious,cabin_attn_minor,cabin_attn_none,cabin_attn_unknown,cabin_attn_totals,extra_crew_fatal,extra_crew_serious,extra_crew_minor,extra_crew_none,extra_crew_unknown,extra_crew_totals,passengers_fatal,passengers_serious,passengers_minor,passengers_none,passengers_unknown,passengers_totals,total_abrd_fatal,total_abrd_serious,total_abrd_minor,total_abrd_none,total_abrd_unknown,total_abrd_totals,other_airc_fatal,other_airc_serious,other_airc_minor,other_airc_none,other_airc_unknown,other_airc_totals,other_grnd_fatal,other_grnd_serious,other_grnd_minor,other_grnd_none,other_grnd_unknown,other_xxxx_totals,bi_fligt_rev,recency_expr,comm_plt_prof,runway_used,grand_total_fatal,grand_total_serious,grand_total_minor,grand_total_none,grand_total_unknown,grand_total_totals,faa_persnl_fatal,_source_file,_ingested_at
542,1966-07-07 00:00:00,2 0291,N3686P,1964-04-29 00:00:00,N,BELT MONTANA,PIPER,PA18A,,0705,A,26,124,21,12,06,A,A,A,1,A,D,,,C,CA,,,N0,DG,,,,,,,,,,,,B,A,,,A,,,J,I,,G,,,,,,,,,,,,,03500,D,R,,A,,087222,,004500,,377,,B2,,M4,,Y8,,C3,,G7,,A,64,A,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
543,1966-07-07 00:00:00,2 0292,N6702D,1964-05-15 00:00:00,,10SE HOUMA LA,BELL,47G2A,,1245,A,18,024,03,12,15,B,B,A,1,A,D,Y,,F,CT,,,6,C2,I,C5,00006,,,,B,G,,,,B,A,,,A,,,N,,,,,,,,,,,,,,,,00000,D,,,A,,008122,,002877,,255,,B2,,T3,,Y8,,C3,,G7,,A,84,C,I,64,3,23,,,,,,,,,,,,,,,,,,,,,,,,,M,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,3,0,0,3,0,PRE1982.MDB,2026-04-14 02:19:16.142676
544,1966-07-07 00:00:00,2 0293,N7373Y,1964-05-18 00:00:00,,EUREKA CALIF,PIPER,PA30,,1445,A,05,124,29,12,33,A,A,A,2,A,D,,,D,B2,,,M1,D9,,,,,,,,,,,,B,B,N,A,A,,Y,G,P,,C,MURRAY FIELD,00005,,,,,,,,,,,00000,D,,,A,,020500,,000155,,488,,C3,,M4,,Y8,,B2,,D4,,,64,A,02,64,A,04,64,A,33,82,A,A,82,A,D,64,J,29,64,J,66,88,J,88,,,,,,,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
545,1967-04-25 00:00:00,2 0294,N981B,1964-05-28 00:00:00,,MIAMI FLA,BELL,47H1,,1821,A,09,024,02,04,13,B,E,A,1,A,S,,,D,B0,,,G,EH,,,,,,,,,,,,B,A,,,A,,,Z,,,,,,,,,,,,,,,,00010,D,,,A,,025766,,000100,,299,,B2,,T3,,Y8,,B2,,A,,A,64,A,25,64,A,23,,,,,,,,,,,,,,,,,,,,,,,,,N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
546,1966-07-07 00:00:00,2 0295,N8975R,1964-05-30 00:00:00,,ANCHORAGE ALASKA,CHAMPION,7GC,,1722,A,02,003,12,12,05,A,A,A,1,A,D,,,D,B0,,,K,EB,,,,,,,,,,,,B,A,,,A,,,A,C,00200,C,CAMPBELL ARMY AF,00266,Y,,,,,,05000,,,,00286,,,,A,,002000,,Z9,,555,,F6,,A1,,X7,,B2,,H8,,A,64,A,17,68,A,C1,64,1,16,,,,,,,,,,,,,,,,,,,,,,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
547,1968-10-03 00:00:00,2 0296,N5907X,1964-06-05 00:00:00,,OKLA CITY OKLA,BRANTLY,B2,,1445,A,36,028,01,12,10,B,E,A,1,A,S,,,F,B1,,,NF,D4,I,EY,,,,,,,,,,B,A,,,A,,,N,,,,,,,,,,,,,,,,01270,Y,,,A,Y,08000A,ZY,00150A,ZY,47A,ZY,AA,ZA,TA,ZA,YA,ZA,GA,ZA,A,A,Y,64,A,30,84,A,J,,,,,,,,,,,,,,,,,,,,,,,,,C,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
548,1966-07-07 00:00:00,2 0297,N57016,1964-06-07 00:00:00,N,MERCED CALIFORNIA,RYAN,ST-3KR,,1615,A,05,137,04,25,05,A,A,A,1,A,D,,,D,B0,,,Q,D7,,,02000,,,,,,,,,B,A,,,A,,,J,I,,A,MERCED MUNICIPAL,00155,,,,,,,,,,,00150,D,,,A,,018033,,000255,,444,,B2,,E5,,Y8,,B2,,A1,,A,64,A,16,64,A,23,88,A,14,,,,,,,,,,,,,,,,,,,,,,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
549,1966-07-07 00:00:00,2 0298,N73902,1964-06-10 00:00:00,,REFUGIO TEX,BELL,47J2,,1030,A,43,024,04,12,20,B,E,A,1,A,S,,,D,B1,,,G,EI,,,,,,,,,,,,B,A,,,A,,,A,,,E,OCONNOR RANCH,00050,B,,,,,,,,,,00050,,,,A,,008000,,003000,,322,,B2,,T3,,Y8,,C3,,G7,,A,64,A,25,88,J,85,,,,,,,,,,,,,,,,,,,,,,,,,N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
550,1969-07-29 00:00:00,2 0299,N322A,1964-06-10 00:00:00,,HARRISBURG ARK,BELL,47D1,,1440,A,04,024,02,04,13,B,E,A,1,A,S,,,C,CA,,,U,DK,G,EI,00020,,,,B,,,,,B,A,,,A,,,N,Z,,,,,,,,,,,,,,,00245,D,,,A,,090000,,000600,,377,,B2,,T3,,Y8,,C3,,G7,,A,88,A,96,88,A,64,68,A,D0,68,A,D4,83,K,Y,,,,,,,,,,,,,,,,N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
551,1967-04-25 00:00:00,2 0300,N5511V,1964-06-13 00:00:00,,COLUSA CALIF,BELL,47D1,,1835,A,05,024,02,04,13,B,E,A,1,A,S,,,D,CY,,,Q,C2,I,EE,00030,,,,,,,,,B,A,,,A,,,A,,,G,,,,,,,,,,,,,00020,D,,,A,,011800,,000400,,288,,B2,,T3,,Y8,,C3,,A,,A,64,A,18,64,A,23,64,A,21,,,,,,,,,,,,,,,,,,,,,,N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
552,1966-07-07 00:00:00,2 0301,N5341V,1964-06-14 00:00:00,,JACOB LAKE ARIZ,HILLER,12E,,1255,A,03,076,04,12,21,B,E,A,1,A,S,,,F,CT,,,Q,C1,,,Z,,,,,,,,,B,A,,,A,,,N,,,,,,,,,,,,,,,,07900,H,,,A,,190000,,020000,,522,,B2,,T3,,Y8,,F6,,G7,,A,64,A,18,64,A,21,64,A,23,82,A,H,82,A,W,,,,,,,,,,,,,,,,N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,PRE1982.MDB,2026-04-14 02:19:16.142676
